id,scenario,status
L28-H01,Fresh-player first-season financial understanding on each difficulty,NOT_RUN
L28-H02,Human youth versus veteran recruitment and contract tradeoffs,NOT_RUN
L28-H03,Human training intensity fatigue injury and recovery choices,NOT_RUN
L28-H04,Human sponsor staff facility and equipment investment decisions,NOT_RUN
L28-H05,Human losing streak board pressure recovery and bankruptcy paths,NOT_RUN
L28-H06,Mid and late career pacing dominant loops and repetitive actions,NOT_RUN
L28-H07,Full spatial 5v5 tactics and utility counterplay,NOT_RUN
L28-H08,Thirty-seed ten-season full-world campaign on final integrated coordinator,NOT_RUN
L28-H09,Old-career orphan-contract and awards-data repair validation,NOT_RUN
L28-H10,Packaged Windows management and balance validation,NOT_RUN
