route_or_overlay,viewport,windows_scaling,scenario,result,screenshot,interaction_log
/academy,1024x640,NOT_RECORDED,"Prospect generation, ownership, promotion, roster/training, season rollover and no-cash state",NOT_RUN,,
/academy,1280x720,NOT_RECORDED,"Prospect generation, ownership, promotion, roster/training, season rollover and no-cash state",NOT_RUN,,
/academy,1440x900,NOT_RECORDED,"Prospect generation, ownership, promotion, roster/training, season rollover and no-cash state",NOT_RUN,,
/animations,1024x640,NOT_RECORDED,"Classify intended audience; verify reduced motion, controls and production inclusion or gate",NOT_RUN,,
/animations,1280x720,NOT_RECORDED,"Classify intended audience; verify reduced motion, controls and production inclusion or gate",NOT_RUN,,
/animations,1440x900,NOT_RECORDED,"Classify intended audience; verify reduced motion, controls and production inclusion or gate",NOT_RUN,,
/basecamp,1024x640,NOT_RECORDED,"Upgrade eligibility/cost/time, activation, capacity/effect, replacement and stale completion",NOT_RUN,,
/basecamp,1280x720,NOT_RECORDED,"Upgrade eligibility/cost/time, activation, capacity/effect, replacement and stale completion",NOT_RUN,,
/basecamp,1440x900,NOT_RECORDED,"Upgrade eligibility/cost/time, activation, capacity/effect, replacement and stale completion",NOT_RUN,,
/career,1024x640,NOT_RECORDED,"Board/reputation milestones, jobs/club switching, sacking/bankruptcy and old-career isolation",NOT_RUN,,
/career,1280x720,NOT_RECORDED,"Board/reputation milestones, jobs/club switching, sacking/bankruptcy and old-career isolation",NOT_RUN,,
/career,1440x900,NOT_RECORDED,"Board/reputation milestones, jobs/club switching, sacking/bankruptcy and old-career isolation",NOT_RUN,,
/credits,1024x640,NOT_RECORDED,"Accurate contributor/license/asset notices, links, supported fonts and packaged notice availability",NOT_RUN,,
/credits,1280x720,NOT_RECORDED,"Accurate contributor/license/asset notices, links, supported fonts and packaged notice availability",NOT_RUN,,
/credits,1440x900,NOT_RECORDED,"Accurate contributor/license/asset notices, links, supported fonts and packaged notice availability",NOT_RUN,,
