profile_url,player_name,age,rating_3,firepower,entrying,trading,opening,clutching,sniping,utility
https://www.hltv.org/player/7322/apex,"apEX",32,0.86,7,55,28,23,40,0,98
https://www.hltv.org/player/11816/ropz,"ropz",26,1.17,81,7,63,53,69,4,22
https://www.hltv.org/player/11893/zywoo,"ZywOo",25,1.30,97,27,68,84,54,91,58
https://www.hltv.org/player/16693/flamez,"flameZ",22,1.13,71,95,16,85,41,0,74
https://www.hltv.org/player/18462/mezii,"mezii",27,1.09,46,77,66,31,74,0,56
https://www.hltv.org/player/2023/fallen,"FalleN",34,0.92,9,52,37,18,44,4,71
https://www.hltv.org/player/12553/yuurih,"yuurih",26,1.11,59,35,56,21,49,0,64
https://www.hltv.org/player/13915/yekindar,"YEKINDAR",26,1.12,81,35,7,92,31,0,67
https://www.hltv.org/player/15631/kscerato,"KSCERATO",26,1.23,88,35,36,54,59,0,82
https://www.hltv.org/player/24144/molodoy,"molodoy",20,1.15,79,22,24,79,81,95,49
https://www.hltv.org/player/3741/niko,"NiKo",28,1.10,68,52,62,59,67,0,69
https://www.hltv.org/player/12018/teses,"TeSeS",25,0.92,9,58,48,20,50,1,48
https://www.hltv.org/player/19230/m0nesy,"m0NESY",20,1.32,95,40,48,85,90,93,64
https://www.hltv.org/player/19677/kyxsan,"kyxsan",25,0.97,12,76,34,21,55,0,83
https://www.hltv.org/player/24177/kyousuke,"kyousuke",17,1.12,86,68,67,87,38,1,25
https://www.hltv.org/player/13666/brollan,"Brollan",23,0.93,22,68,50,43,32,0,89
https://www.hltv.org/player/18072/torzsi,"torzsi",23,1.03,42,41,71,31,81,91,73
https://www.hltv.org/player/18221/spinx,"Spinx",25,1.14,79,53,47,71,43,0,46
https://www.hltv.org/player/18850/jimpphat,"Jimpphat",19,1.04,41,49,56,23,48,0,30
https://www.hltv.org/player/20312/xertion,"xertioN",21,1.17,86,83,44,87,36,0,66
https://www.hltv.org/player/429/karrigan,"karrigan",35,0.88,9,51,23,41,33,0,84
https://www.hltv.org/player/9960/frozen,"frozen",23,1.19,86,37,71,66,65,0,55
https://www.hltv.org/player/10394/twistzz,"Twistzz",26,1.22,89,82,89,60,62,1,65
https://www.hltv.org/player/18053/broky,"broky",24,1.04,53,69,69,48,74,91,70
https://www.hltv.org/player/22383/jcobbb,"jcobbb",21,0.97,29,89,59,46,28,0,17
https://www.hltv.org/player/20194/blitz,"bLitz",24,0.93,28,43,15,47,51,3,95
https://www.hltv.org/player/20275/techno,"Techno",20,0.97,42,42,31,47,49,0,45
https://www.hltv.org/player/21001/mzinho,"mzinho",18,1.05,53,35,21,34,45,1,60
https://www.hltv.org/player/21809/910,"910",23,1.04,64,13,58,52,88,92,62
https://www.hltv.org/player/9816/aleksib,"Aleksib",28,0.93,4,95,42,24,41,0,84
https://www.hltv.org/player/14759/im,"iM",26,1.14,83,61,41,77,38,0,42
https://www.hltv.org/player/18987/b1t,"b1t",22,1.13,72,40,69,35,51,0,51
https://www.hltv.org/player/20127/w0nderful,"w0nderful",21,1.12,60,6,73,38,72,92,55
https://www.hltv.org/player/22673/makazze,"makazze",19,1.08,67,68,20,77,27,0,60
https://www.hltv.org/player/16920/sh1ro,"sh1ro",24,1.18,80,2,58,49,63,94,70
https://www.hltv.org/player/18317/magixx,"magixx",22,,,,,,,,
https://www.hltv.org/player/19808/tn1r,"tN1R",24,1.00,38,43,24,27,73,0,46
https://www.hltv.org/player/20423/zont1x,"zont1x",20,,,,,,,,
https://www.hltv.org/player/21167/donk,"donk",18,1.32,99,43,74,91,54,3,44
https://www.hltv.org/player/3972/hunter,"huNter-",29,0.89,11,59,42,12,29,0,93
https://www.hltv.org/player/11617/malbsmd,"malbsMd",23,0.99,45,35,41,85,24,0,46
https://www.hltv.org/player/19164/sunpayus,"SunPayus",27,1.04,41,24,28,58,67,92,59
https://www.hltv.org/player/20447/heavygod,"HeavyGod",23,1.08,54,30,58,32,42,0,53
https://www.hltv.org/player/21062/matys,"MATYS",23,1.03,44,72,68,44,39,0,52
https://www.hltv.org/player/150/maj3r,"MAJ3R",34,0.88,3,53,29,17,44,0,88
https://www.hltv.org/player/7938/xantares,"XANTARES",30,1.20,97,48,49,92,44,0,42
https://www.hltv.org/player/8574/woxic,"woxic",27,1.03,43,10,74,52,77,93,54
https://www.hltv.org/player/20968/soulfly,"soulfly",21,1.07,65,85,17,88,20,0,61
https://www.hltv.org/player/21243/wicadia,"Wicadia",20,1.14,88,70,48,65,73,2,27
https://www.hltv.org/player/19592/headtr1ck,"headtr1ck",21,0.96,23,26,55,34,62,89,56
https://www.hltv.org/player/20112/alex666,"alex666",24,0.94,30,42,20,28,58,1,66
https://www.hltv.org/player/21708/npl,"npl",20,1.09,76,58,70,55,27,0,48
https://www.hltv.org/player/22842/kensizor,"kensizor",19,1.09,87,92,50,84,24,0,48
https://www.hltv.org/player/23643/esenthial,"esenthial",19,1.01,28,48,62,40,57,1,21
https://www.hltv.org/player/8374/bodyy,"bodyy",28,1.02,51,57,28,80,29,1,72
https://www.hltv.org/player/13138/maka,"Maka",28,1.03,42,25,53,76,58,82,90
https://www.hltv.org/player/13497/lucky,"Lucky",27,0.97,28,60,70,16,36,0,75
https://www.hltv.org/player/19739/ex3rcice,"Ex3rcice",25,1.00,47,51,49,40,48,1,41
https://www.hltv.org/player/21969/graviti,"Graviti",22,0.99,44,68,75,45,57,0,82
https://www.hltv.org/player/18141/biguzera,"biguzera",28,1.05,51,66,13,74,66,5,83
https://www.hltv.org/player/19694/nqz,"nqz",20,1.01,45,9,42,39,78,93,64
https://www.hltv.org/player/20171/snow,"snow",18,1.03,57,54,40,63,50,0,55
https://www.hltv.org/player/10096/hooxi,"HooXi",30,0.95,21,62,18,41,38,1,88
https://www.hltv.org/player/17956/jabbi,"jabbi",22,1.01,45,51,30,33,38,0,34
https://www.hltv.org/player/20304/staehr,"Staehr",21,1.02,50,44,64,65,45,1,65
https://www.hltv.org/player/8520/naf,"NAF",28,1.10,49,55,21,33,59,1,63
https://www.hltv.org/player/8738/elige,"EliGE",28,1.05,70,27,48,75,24,1,49
https://www.hltv.org/player/9436/nertz,"NertZ",26,1.06,67,12,45,59,51,3,53
https://www.hltv.org/player/16820/siuhy,"siuhy",23,0.94,16,47,24,49,33,0,76
https://www.hltv.org/player/21763/ultimate,"ultimate",22,1.04,44,42,31,54,51,89,50
https://www.hltv.org/player/11630/jt,"JT",26,1.06,54,83,46,53,58,0,84
https://www.hltv.org/player/12840/hallzerk,"hallzerk",25,0.99,33,39,79,53,80,91,72
https://www.hltv.org/player/13578/grim,"Grim",25,1.03,77,87,48,59,42,0,44
https://www.hltv.org/player/21452/kvem,"Kvem",24,1.08,85,46,64,84,30,0,40
https://www.hltv.org/player/21620/nicx,"nicx",21,1.01,36,42,60,8,83,0,25
https://www.hltv.org/player/15698/dumau,"dumau",22,1.06,78,23,32,77,28,0,77
https://www.hltv.org/player/19045/latto,"latto",23,1.17,75,52,39,35,47,1,82
https://www.hltv.org/player/19686/n1ssim,"n1ssim",24,1.04,50,11,42,35,76,1,45
https://www.hltv.org/player/20563/lux,"lux",23,0.98,43,70,16,64,57,0,85
https://www.hltv.org/player/22965/saadzin,"saadzin",21,1.05,47,50,49,64,51,92,71
https://www.hltv.org/player/13776/jame,"Jame",27,1.06,43,4,75,42,94,92,86
https://www.hltv.org/player/19235/belchonokk,"BELCHONOKK",21,1.02,34,95,38,54,48,0,24
https://www.hltv.org/player/22076/aw,"AW",19,1.02,25,85,72,14,53,0,72
https://www.hltv.org/player/22471/xielo,"xiELO",19,1.14,79,76,58,75,31,4,37
https://www.hltv.org/player/22929/nota,"nota",18,1.17,79,92,76,67,70,1,63
https://www.hltv.org/player/19187/xfl0ud,"xfl0ud",23,1.11,89,51,28,80,44,1,67
https://www.hltv.org/player/20119/nilo,"nilo",20,1.07,66,54,71,34,36,1,38
https://www.hltv.org/player/21983/chr1zn,"Chr1zN",19,1.01,57,27,16,50,38,0,78
https://www.hltv.org/player/22047/yxngstxr,"yxngstxr",21,0.95,25,52,27,29,24,0,40
https://www.hltv.org/player/23600/alkaren,"Alkaren",18,1.09,55,15,33,70,68,93,60
https://www.hltv.org/player/630/mutiris,"MUTiRiS",33,1.01,36,19,44,29,56,0,92
https://www.hltv.org/player/20462/story,"story",23,1.15,75,27,28,87,78,93,78
https://www.hltv.org/player/21014/ag1l,"Ag1l",22,1.10,64,51,31,39,68,1,56
https://www.hltv.org/player/22807/aragornn,"aragornN",23,1.12,84,56,34,86,24,0,54
https://www.hltv.org/player/23140/krazy,"krazy",22,1.03,64,68,60,49,57,0,31
https://www.hltv.org/player/10566/chelo,"chelo",27,1.04,60,83,31,76,44,0,66
https://www.hltv.org/player/12822/vini,"VINI",26,1.10,67,49,19,47,66,0,73
https://www.hltv.org/player/18676/skullz,"skullz",23,0.99,31,29,66,28,43,0,50
https://www.hltv.org/player/19869/try,"try",21,1.21,92,15,51,90,58,93,61
https://www.hltv.org/player/22564/noway,"noway",20,1.06,61,88,80,27,48,0,47
https://www.hltv.org/player/12732/fl1t,"FL1T",25,1.08,69,78,52,89,35,0,73
https://www.hltv.org/player/16947/perfecto,"Perfecto",26,1.11,69,24,82,21,32,0,80
https://www.hltv.org/player/20101/fame,"fame",22,1.06,69,65,60,62,31,0,52
https://www.hltv.org/player/23637/b1st,"b1st",17,0.84,1,73,58,49,77,88,60
https://www.hltv.org/player/24952/to0ro,"tO0RO",18,0.92,10,75,45,48,25,1,36
https://www.hltv.org/player/2553/snax,"Snax",32,,,,,,,,
https://www.hltv.org/player/9278/rez,"REZ",27,1.06,61,58,46,80,29,0,62
https://www.hltv.org/player/20301/tauson,"Tauson",20,1.06,55,57,41,43,55,0,37
https://www.hltv.org/player/22279/pr,"PR",18,1.13,80,20,38,73,62,1,52
https://www.hltv.org/player/23766/hypex,"hypex",22,0.92,25,19,80,27,70,85,54
https://www.hltv.org/player/922/snappi,"Snappi",35,0.94,24,65,11,28,55,3,77
https://www.hltv.org/player/14148/sjuush,"sjuush",26,1.12,70,53,29,58,59,1,60
https://www.hltv.org/player/20425/r1nkle,"r1nkle",21,1.08,73,16,57,79,41,91,53
https://www.hltv.org/player/23372/xkacpersky,"xKacpersky",19,1.20,91,55,42,66,45,0,37
https://www.hltv.org/player/15370/slaxz,"slaxz-",27,1.17,70,22,44,69,51,92,79
https://www.hltv.org/player/16599/swisher,"Swisher",27,1.17,80,73,53,74,35,0,81
https://www.hltv.org/player/20104/s1n,"s1n",23,1.10,45,25,76,18,52,1,90
https://www.hltv.org/player/21665/jba,"JBa",21,1.21,94,50,69,77,25,1,40
https://www.hltv.org/player/22921/lake,"Lake",21,1.22,87,94,34,92,40,0,53
https://www.hltv.org/player/8371/alex,"alex",30,0.98,30,80,66,39,53,1,69
https://www.hltv.org/player/9254/mopoz,"mopoz",29,1.07,40,57,16,55,39,1,59
https://www.hltv.org/player/18749/sausol,"sausol",25,1.00,39,27,50,32,53,0,62
https://www.hltv.org/player/19509/dav1g,"dav1g",24,1.04,58,45,60,66,51,1,54
https://www.hltv.org/player/21239/martinezsa,"MartinezSa",24,1.09,65,24,47,59,66,91,60
https://www.hltv.org/player/20584/dem0n,"dem0n",18,1.15,76,63,89,31,58,0,32
https://www.hltv.org/player/20761/launx,"lauNX",20,1.12,73,87,57,71,50,0,67
https://www.hltv.org/player/22203/krabeni,"Krabeni",20,1.06,73,49,15,83,46,0,79
https://www.hltv.org/player/22674/cmtry,"cmtry",18,1.11,71,63,31,56,75,90,74
https://www.hltv.org/player/23553/dziugss,"dziugss",17,1.18,71,57,75,26,72,0,60
https://www.hltv.org/player/16551/westmelon,"Westmelon",24,0.99,58,52,53,66,26,0,80
https://www.hltv.org/player/18744/z4kr,"z4kr",23,1.04,63,23,43,60,45,93,62
https://www.hltv.org/player/20254/starry,"Starry",20,1.02,67,57,47,69,34,2,71
https://www.hltv.org/player/22922/emiliaqaq,"EmiliaQAQ",21,0.97,39,39,37,23,41,0,40
https://www.hltv.org/player/23100/c4llm3su3,"C4LLM3SU3",21,0.96,15,62,50,14,84,1,38
https://www.hltv.org/player/7528/krimz,"KRIMZ",31,1.05,33,20,45,25,57,1,70
https://www.hltv.org/player/15165/blamef,"blameF",28,1.28,93,26,49,75,71,0,55
https://www.hltv.org/player/17803/fear,"fEAR",25,0.88,14,63,25,38,37,0,79
https://www.hltv.org/player/23046/jambo,"jambo",21,1.06,65,11,28,80,53,91,75
https://www.hltv.org/player/23414/jackasmo,"jackasmo",18,1.01,48,55,46,39,44,0,67
https://www.hltv.org/player/4679/jks,"jks",30,1.04,54,49,12,37,46,0,74
https://www.hltv.org/player/11140/ins,"INS",27,1.03,38,71,69,36,36,0,94
https://www.hltv.org/player/17384/vexite,"Vexite",21,1.02,53,92,18,83,26,0,70
https://www.hltv.org/player/18214/nettik,"nettik",22,0.91,25,49,88,24,56,0,76
https://www.hltv.org/player/20123/regali,"regali",23,1.02,48,3,83,31,63,91,59
https://www.hltv.org/player/8552/attacker,"Attacker",28,,,,,,,,
https://www.hltv.org/player/19645/jamyoung,"JamYoung",24,1.13,79,77,73,69,54,0,63
https://www.hltv.org/player/20702/jee,"Jee",21,0.98,59,6,87,37,80,84,68
https://www.hltv.org/player/20895/mercury,"Mercury",25,1.02,55,45,47,36,79,0,72
https://www.hltv.org/player/21621/moseyuh,"Moseyuh",21,0.94,27,92,55,52,29,0,26
https://www.hltv.org/player/11840/boombl4,"Boombl4",27,1.08,62,81,15,75,40,0,72
https://www.hltv.org/player/18506/s1ren,"S1ren",23,1.07,55,62,48,29,46,0,32
https://www.hltv.org/player/20357/d1ledez,"d1Ledez",22,1.11,69,49,57,40,57,0,43
https://www.hltv.org/player/21348/artfr0st,"ArtFr0st",24,1.05,51,8,70,47,83,93,61
https://www.hltv.org/player/21667/magnojez,"Magnojez",21,1.23,93,57,21,90,38,0,70
https://www.hltv.org/player/3849/jw,"JW",30,1.01,45,21,24,65,70,80,61
https://www.hltv.org/player/20879/maxster,"maxster",21,1.15,74,38,71,28,75,1,56
https://www.hltv.org/player/21012/ro1f,"Ro1f",21,1.03,33,56,36,24,54,0,63
https://www.hltv.org/player/21159/bobeksde,"bobeksde",22,1.17,93,35,17,88,41,0,74
https://www.hltv.org/player/22914/dex,"dex",24,1.03,47,64,45,54,35,0,61
https://www.hltv.org/player/7687/nitr0,"nitr0",30,1.07,33,90,35,17,36,0,70
https://www.hltv.org/player/8711/sonic,"Sonic",27,1.21,93,37,66,94,23,0,84
https://www.hltv.org/player/13249/osee,"oSee",26,,,,,,,,
https://www.hltv.org/player/16717/br0,"br0",23,1.12,85,52,73,42,35,6,78
https://www.hltv.org/player/20333/jeorge,"Jeorge",22,1.11,69,88,50,66,55,0,60
https://www.hltv.org/player/12521/art,"arT",29,0.96,30,63,15,71,54,9,62
https://www.hltv.org/player/18717/lucaozy,"Lucaozy",24,1.04,61,64,62,53,24,2,31
https://www.hltv.org/player/19692/zevy,"zevy",24,1.03,53,60,38,41,53,92,47
https://www.hltv.org/player/20183/decenty,"decenty",21,1.10,87,27,77,45,47,0,24
https://www.hltv.org/player/20385/kye,"kye",21,1.04,52,50,75,42,51,0,42
https://www.hltv.org/player/16612/n0rb3r7,"n0rb3r7",24,1.16,94,44,35,81,37,0,58
https://www.hltv.org/player/19823/dukefissura,"dukefissura",29,1.03,61,53,47,73,44,0,44
https://www.hltv.org/player/21385/mizu,"mizu",21,1.02,43,82,25,20,51,0,42
https://www.hltv.org/player/21692/kalash,"kAlash",21,1.02,49,51,32,41,56,1,23
https://www.hltv.org/player/24806/frontales,"frontales",23,1.02,55,14,57,47,44,91,61
https://www.hltv.org/player/10330/acor,"acoR",28,1.04,58,32,55,64,66,92,64
https://www.hltv.org/player/11995/tmb,"TMB",23,0.91,20,82,27,53,35,0,87
https://www.hltv.org/player/20417/anlelele,"Anlelele",25,1.09,75,55,51,74,33,0,71
https://www.hltv.org/player/21779/nut-nut,"nut nut",20,1.10,60,50,80,25,64,0,85
https://www.hltv.org/player/22695/sirah,"sirah",19,1.20,90,54,46,71,65,0,56
https://www.hltv.org/player/17508/glowiing,"glowiing",32,1.12,89,64,41,86,31,0,68
https://www.hltv.org/player/20430/alpha,"alpha",21,0.97,34,72,83,29,43,1,78
https://www.hltv.org/player/21710/notineki,"notineki",20,1.06,45,59,57,21,56,0,44
https://www.hltv.org/player/22803/bl1x1,"bl1x1",19,1.08,44,93,58,68,46,0,37
https://www.hltv.org/player/22879/fenomen,"FenomeN",21,1.10,63,29,68,54,82,94,60
https://www.hltv.org/player/23642/flierax,"Flierax",20,1.03,54,29,41,60,67,93,60
https://www.hltv.org/player/24168/onic,"onic",20,0.87,8,35,35,22,55,2,68
https://www.hltv.org/player/24282/dawy,"Dawy",18,1.11,85,72,85,68,52,0,16
https://www.hltv.org/player/24283/cairne,"cairne",23,1.20,89,87,72,80,34,0,45
https://www.hltv.org/player/19015/bymas,"Bymas",22,1.08,51,65,69,38,47,0,37
https://www.hltv.org/player/19926/afro,"afro",26,1.09,70,8,26,67,75,93,78
https://www.hltv.org/player/21217/ryu,"ryu",21,1.17,72,14,78,31,62,0,32
https://www.hltv.org/player/21816/gizmy,"Gizmy",21,0.97,33,82,22,59,40,1,92
https://www.hltv.org/player/22106/azuwu,"AZUWU",22,1.03,73,89,46,84,32,0,49
https://www.hltv.org/player/12708/rigon,"rigoN",26,0.93,30,88,31,71,23,0,25
https://www.hltv.org/player/12731/sdy,"sdy",28,1.05,61,57,80,74,55,0,85
https://www.hltv.org/player/21233/myltsi,"myltsi",21,0.98,35,82,51,26,76,0,61
https://www.hltv.org/player/21815/podi,"podi",21,1.18,82,23,48,55,98,91,76
https://www.hltv.org/player/21972/neityu,"Neityu",20,1.06,61,42,72,25,71,0,49
https://www.hltv.org/player/20071/fanatyk,"fanatyk",26,1.00,28,30,63,11,78,0,52
https://www.hltv.org/player/20686/suonko,"suonko",25,1.07,75,88,63,78,32,0,47
https://www.hltv.org/player/20945/frontsiderr,"Frontsiderr",25,1.08,53,53,62,23,65,0,43
https://www.hltv.org/player/22129/antyvirus,"AntyVirus",22,0.97,50,77,63,58,30,1,33
