input_or_setting,surface,scenario,viewport,os_scaling,result,evidence
Keyboard,Core career,Skip link; squad; search transfers; profile return; negotiate salary/duration; cancel without signing; advance day; next fixture and result,1024x640,NOT_RECORDED,NOT_RUN,
Keyboard,Core career,Skip link; squad; search transfers; profile return; negotiate salary/duration; cancel without signing; advance day; next fixture and result,1280x720,NOT_RECORDED,NOT_RUN,
Keyboard,Core career,Skip link; squad; search transfers; profile return; negotiate salary/duration; cancel without signing; advance day; next fixture and result,1440x900,NOT_RECORDED,NOT_RUN,
Keyboard,Player negotiation,Initial summary focus; Tab/Shift+Tab; fee/salary units; duration arrows; Escape; original trigger focus; missing player; stage changes,1024x640,NOT_RECORDED,NOT_RUN,
Keyboard,Player negotiation,Initial summary focus; Tab/Shift+Tab; fee/salary units; duration arrows; Escape; original trigger focus; missing player; stage changes,1280x720,NOT_RECORDED,NOT_RUN,
Keyboard,Player negotiation,Initial summary focus; Tab/Shift+Tab; fee/salary units; duration arrows; Escape; original trigger focus; missing player; stage changes,1440x900,NOT_RECORDED,NOT_RUN,
Keyboard,Staff negotiation,Hire/renew; salary; duration units; Tab loop; Escape; action failures and focus return,1024x640,NOT_RECORDED,NOT_RUN,
Keyboard,Staff negotiation,Hire/renew; salary; duration units; Tab loop; Escape; action failures and focus return,1280x720,NOT_RECORDED,NOT_RUN,
Keyboard,Staff negotiation,Hire/renew; salary; duration units; Tab loop; Escape; action failures and focus return,1440x900,NOT_RECORDED,NOT_RUN,
Keyboard,Settings,Display/audio/game/controls; switch state announced; slider units; native selects; Escape and focus return,1024x640,NOT_RECORDED,NOT_RUN,
Keyboard,Settings,Display/audio/game/controls; switch state announced; slider units; native selects; Escape and focus return,1280x720,NOT_RECORDED,NOT_RUN,
Keyboard,Settings,Display/audio/game/controls; switch state announced; slider units; native selects; Escape and focus return,1440x900,NOT_RECORDED,NOT_RUN,
Keyboard,Map Studio creation,Wall via coordinate points; Finish; green passage; spawn/bombsite polygon; throw and landing; undo/redo; save and reload disposable project,1024x640,NOT_RECORDED,NOT_RUN,
Keyboard,Map Studio creation,Wall via coordinate points; Finish; green passage; spawn/bombsite polygon; throw and landing; undo/redo; save and reload disposable project,1280x720,NOT_RECORDED,NOT_RUN,
