path,kind,sha256,source,evidence,next_action
"NOTICE.md","artwork-other","61460f22b2e609984751c25e0db73c1b0eaaa2935b9484907761900ebd87bdea","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/ct_coin.png","artwork-other","0f253d0b163725d62bfe93acd1770e1daaac5d4592941e0b5c56625e43cdbc99","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/ct_coin.webp","artwork-other","5c241ddb42d31896f8b8cfcb666c2d0c8e7373ae91bc13aa983cb4d88dca5460","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/fire.png","artwork-other","3cddaabb59b70fe5303672931530627c1695d062efbaf6cda8dddd393c6666a9","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/fire.webp","artwork-other","006063ad77752eeb4a8542287334f656640f5f7c3e905f232970d43c7f9ad9b2","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/ice.png","artwork-other","291673144a135c6ac1a7a29556f9d9721f3d52ccdcd7f24c198902384e153eee","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/ice.webp","artwork-other","2acedf2c8a23f5eaedba18f1dbfa1cc962104f05f2e52033df13079d4501b5a6","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/injury.png","artwork-other","dce563e4b6d54630e08e49084ab95b55f9603add0045f938f6c10770bf6670c7","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/injury.webp","artwork-other","b4e8263de3be5384104aa83910465f21f344a688085f3e01f8b75937cc71e78f","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/legend.png","artwork-other","c1ca9910f1e40871a5c4980b1b06c11b0eed7dc10941b33c54b81710114f454b","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/legend.webp","artwork-other","644c4cf2e7554f99d5a09b531a76c36b83357bd6c79b26c9595803e471370118","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/t_coin.png","artwork-other","2770339d6b7037c954c6dde6641c2aef56af43aae66525cba9304c1f66ece16c","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/badges/t_coin.webp","artwork-other","68e14fd1847432734b0b08a351b75331a89ae8cabb0a9b79f971650e0313e39b","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/AU.webp","artwork-other","8e5eed6a753ba813050df3104addbf4ae0bf13cebe52aadc188e27bf8fc026e6","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/BA.webp","artwork-other","61ef9f72f6c6fc67715b0be8ce2cb04eade1acc001f7934a0d4135ffcd59ece2","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/BR.webp","artwork-other","62ee5b9006a74afc8013e44c8dbad06a14e28616b8bb277fc15ad363de63f731","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/BY.webp","artwork-other","f8bc19f94b59ad45c3f9adbe7ae4cf3d4faa05a58c7863bd3e84a2ed6818e286","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/CA.webp","artwork-other","52b4471d17059fe00413983b026934b8ce5eeaefe2c7bf9ffc1c6034eb35cd5e","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/CL.webp","artwork-other","550db826dd7ff0d275cd87d8a199dcc1885235d58c237400a19d573efb1591ab","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/CZ.webp","artwork-other","6cf329cc23238ba09362bf7a90c1cbbf24b9fbdd94ae996baa3c6a210cc2f979","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/DK.webp","artwork-other","00bd59dc9998d3d7fedab60087d69a445960690fd2ce6e388c7d075fb1d0825e","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/EE.webp","artwork-other","e6a8e68c7ab9509c6a7c5b6f8e7935f9c84f4a0c793ae1402a7209dbd7e55bc2","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/ES.webp","artwork-other","5f3aec28883a23cbcd15cecce32622e4e1dcbd22fec1f0780bbcd5ee4798ff8c","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/FI.webp","artwork-other","07d5824afba48117f8d9d38f9744040ade78947b59d1244895350f7e7fa8e260","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/FR.webp","artwork-other","2b7d15a74c21a1902ee39742d54e26f968fc83e0f518ada20700f0b636590f46","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/GB.webp","artwork-other","0f1aae213a717ae11dd67068f2b6c8de8fd1bb804fcf965184c152a4a71c1295","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/GT.webp","artwork-other","845181154e80355ac33d3b6c7654c5e7518a137d90419536ea4847a791c4f318","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/HU.webp","artwork-other","4d7927d3b0488408e9ae66ffbc92bf403ea7c6626184926b830087ea72082aba","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/IL.webp","artwork-other","47974a6db228baed1ecc6dce88e3be2228d480aa3090d531aa22c58e29eae0f6","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/KZ.webp","artwork-other","d0c7e4c5166c6d60b4f18d2a590194c967842158611341b7f4a746f9196425fa","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/LT.webp","artwork-other","88f140c9339836ca195eab521667fbbc0672da80a71d3822c9f2da8c4ae01021","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/LV.webp","artwork-other","74dac0c0724d80ceeef97459aef2d744fb2c254ed059d14cde760b85991f3d86","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/MK.webp","artwork-other","225f3bc1f5999c3b7e076c7c8473710a8ae7ac72c948592f8439d14c61302390","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/MN.webp","artwork-other","fb4f5f121ed33eb79c116c3f7344bfdc7697b08fbf82966ed3d8592b26c3c01f","No item-specific permission located","","Locate original creator/license or replace with documented original content"
"public/assets/country/MX.webp","artwork-other","3c2639fc52b988f1261ab2257fc9244d01c85d7eb2a337e13430ae1a26a4e331","No item-specific permission located","","Locate original creator/license or replace with documented original content"
